Syllable,Difficulty for English speakers
A,Low
Ai,Low
An,Low
Ang,Low
Ao,Low
Ba,Low
Bai,Low
Ban,Low
Bang,Low
Bao,Low
Bei,Low
Ben,Low
Beng,Low
Bi,Low
Bian,Low
Biang,Low
Biao,Low
Bie,Low
Bin,Low
Bing,Low
Bo,Medium
Bu,Low
Ca,Medium
Cai,Medium
Can,Medium
Cang,Medium
Cao,Medium
Ce,Medium
Cei,Medium
Cen,Medium
Ceng,Medium
Cha,Medium
Chai,Medium
Chan,Medium
Chang,Medium
Chao,Medium
Che,Medium
Chen,Medium
Cheng,Medium
Chi,Medium
Chong,Medium
Chou,Medium
Chu,Medium
Chua,Medium
Chuai,Medium
Chuan,Medium
Chuang,Medium
Chui,Medium
Chun,Medium
Chuo,High
Ci,Medium
Cong,Medium
Cou,Medium
Cu,Medium
Cuan,Medium
Cui,Medium
Cun,Medium
Cuo,High
Da,Low
Dai,Low
Dan,Low
Dang,Low
Dao,Low
De,Low
Dei,Low
Den,Low
Deng,Low
Di,Low
Dian,Low
Diao,Low
Die,Low
Ding,Low
Diu,Low
Dong,Low
Dou,Low
Du,Low
Duan,Low
Dui,Low
Dun,Low
Duo,Medium
E,Low
Ei,Low
En,Low
Eng,Low
Er,Low
Fa,Low
Fan,Low
Fang,Low
Fei,Low
Fen,Low
Feng,Low
Fo,Medium
Fou,Low
Fu,Low
Ga,Low
Gai,Low
Gan,Low
Gang,Low
Gao,Low
Ge,Low
Gei,Low
Gen,Low
Geng,Low
Gong,Low
Gou,Low
Gu,Low
Gua,Low
Guai,Low
Guan,Low
Guang,Low
Gui,Low
Gun,Low
Guo,Medium
Ha,Low
Hai,Low
Han,Low
Hang,Low
Hao,Low
He,Low
Hei,Low
Hen,Low
Heng,Low
Hong,Low
Hou,Low
Hu,Low
Hua,Low
Huai,Low
Huan,Low
Huang,Low
Hui,Low
Hun,Low
Huo,Medium
Ji,High
Jia,High
Jian,High
Jiang,High
Jiao,High
Jie,High
Jin,High
Jing,High
Jiong,High
Jiu,High
Ju,Very High
Juan,Very High
Jue,Very High
Jun,Very High
Ka,Low
Kai,Low
Kan,Low
Kang,Low
Kao,Low
Ke,Low
Kei,Low
Ken,Low
Keng,Low
Kong,Low
Kou,Low
Ku,Low
Kua,Low
Kuai,Low
Kuan,Low
Kuang,Low
Kui,Low
Kun,Low
Kuo,Medium
La,Low
Lai,Low
Lan,Low
Lang,Low
Lao,Low
Le,Low
Lei,Low
Leng,Low
Li,Low
Lia,Low
Lian,Low
Liang,Low
Liao,Low
Lie,Low
Lin,Low
Ling,Low
Liu,Low
Lo,Medium
Long,Low
Lou,Low
Lu,Low
Luan,Low
Lun,Low
Luo,Medium
Lv,High
Lve,High
Ma,Low
Mai,Low
Man,Low
Mang,Low
Mao,Low
Me,Low
Mei,Low
Men,Low
Meng,Low
Mi,Low
Mian,Low
Miao,Low
Mie,Low
Min,Low
Ming,Low
Miu,Low
Mo,Medium
Mou,Low
Mu,Low
Na,Low
Nai,Low
Nan,Low
Nang,Low
Nao,Low
Ne,Low
Nei,Low
Nen,Low
Neng,Low
Ni,Low
Nian,Low
Niang,Low
Niao,Low
Nie,Low
Nin,Low
Ning,Low
Niu,Low
Nong,Low
Nou,Low
Nu,Low
Nuan,Low
Nuo,Medium
Nv,High
Nve,High
O,Medium
Ou,Low
Pa,Low
Pai,Low
Pan,Low
Pang,Low
Pao,Low
Pei,Low
Pen,Low
Peng,Low
Pi,Low
Pian,Low
Piao,Low
Pie,Low
Pin,Low
Ping,Low
Po,Medium
Pou,Low
Pu,Low
Qi,High
Qia,High
Qian,High
Qiang,High
Qiao,High
Qie,High
Qin,High
Qing,High
Qiong,High
Qiu,High
Qu,Very High
Quan,Very High
Que,Very High
Qun,Very High
Ran,High
Rang,High
Rao,High
Re,High
Ren,High
Reng,High
Ri,High
Rong,High
Rou,High
Ru,High
Rua,High
Ruan,High
Rui,High
Run,High
Ruo,High
Sa,Low
Sai,Low
San,Low
Sang,Low
Sao,Low
Se,Low
Sen,Low
Seng,Low
Sha,Medium
Shai,Medium
Shan,Medium
Shang,Medium
Shao,Medium
She,Medium
Shei,Medium
Shen,Medium
Sheng,Medium
Shi,Medium
Shou,Medium
Shu,Medium
Shua,Medium
Shuai,Medium
Shuan,Medium
Shuang,Medium
Shui,Medium
Shun,Medium
Shuo,High
Si,Low
Song,Low
Sou,Low
Su,Low
Suan,Low
Sui,Low
Sun,Low
Suo,Medium
Ta,Low
Tai,Low
Tan,Low
Tang,Low
Tao,Low
Te,Low
Teng,Low
Ti,Low
Tian,Low
Tiao,Low
Tie,Low
Ting,Low
Tong,Low
Tou,Low
Tu,Low
Tuan,Low
Tui,Low
Tun,Low
Tuo,Medium
Wa,Low
Wai,Low
Wan,Low
Wang,Low
Wei,Low
Wen,Low
Weng,Low
Wo,Medium
Wu,Low
Xi,High
Xia,High
Xian,High
Xiang,High
Xiao,High
Xie,High
Xin,High
Xing,High
Xiong,High
Xiu,High
Xu,Very High
Xuan,Very High
Xue,Very High
Xun,Very High
Ya,Low
Yan,Low
Yang,Low
Yao,Low
Ye,Low
Yi,Low
Yin,Low
Ying,Low
Yong,Low
You,Low
Yu,High
Yuan,High
Yue,High
Yun,High
Za,Medium
Zai,Medium
Zan,Medium
Zang,Medium
Zao,Medium
Ze,Medium
Zei,Medium
Zen,Medium
Zeng,Medium
Zha,Medium
Zhai,Medium
Zhan,Medium
Zhang,Medium
Zhao,Medium
Zhe,Medium
Zhei,Medium
Zhen,Medium
Zheng,Medium
Zhi,Medium
Zhong,Medium
Zhou,Medium
Zhu,Medium
Zhua,Medium
Zhuai,Medium
Zhuan,Medium
Zhuang,Medium
Zhui,Medium
Zhun,Medium
Zhuo,High
Zi,Medium
Zong,Medium
Zou,Medium
Zu,Medium
Zuan,Medium
Zui,Medium
Zun,Medium
Zuo,High
